Word,Meaning,Sentence
Adventure,"an unusual, exciting, and possibly dangerous activity, such as a trip or experience, or the excitement produced by such an activity",They went on an adventure hunting for treasure in the western hills.
Beautiful,having an attractive quality that gives pleasure to those who experience it or think about it,We heard beautiful music every night.
Computer,an electronic machine that is used for storing  and for controlling other machines,They've just launched a new generation of computers that are much more powerful than earlier models.
Delicious,having a very pleasant taste or smell,The delicious smell of freshly made coffee came from the kitchen.
Enchantment,"a feeling of great pleasure and attraction, especially because something is very beautiful",The recording somehow enhances our sense of the beauty and enchantment of her voice.
Freedom,a right to act in the way you think you should,Being able to vote as you want to is an important political/democratic freedom.
Giraffe,a large African animal with a very long neck and long legs,The giraffe was killed with a spear that had been tipped with poison.
Harmony,a pleasant musical sound made by different notes being played or sung at the same time,The modern generation of composers discarded traditional ideas of melody and harmony.
Ice cream,"a small, cone-shaped, edible container that holds ice cream",I love to eat ice cream on hot summer days while strolling along the beach.
Jellyfish,"a sea creature with a soft, oval, almost transparent body","He also encountered sea turtles, dolphins, and jellyfish and befriended them."
Kangaroo,"a large Australian mammal with a long stiff tail, short front legs and long powerful back legs on which it moves by jumping",We can describe the latter by saying that we perceive the kangaroo as grey.
Laughter,the act or sound of laughing,We nearly split our sides with laughter watching Paul trying to get the dog into the bicycle basket.
Majestic,"beautiful, powerful, or causing great admiration and respect",The majestic Montana scenery will leave you breathless.
Nutmeg,"in football, to kick the ball through an opponent's legs",Roberts added the second goal five minutes into the second half when he nutmegged Evans.
Orange,a round sweet fruit that has a thick orange skin and an orange centre divided into many parts,She went to the shop to get some oranges but they had none.
Penguin,"a black and white bird, found mainly in the Antarctic, that cannot fly but uses its small wings to help it swim","Penguins are used to textures such as rock and water, so the nontoxic paint provides a different feeling on their feet."
Queen,any woman who is considered to be the best at what she does,She's the reigning queen of crime writers.
Rainbow,the effect seen when white light separates into its different colours,A perfectly circular rainbow appeared in the spray as the children played in the water.
Sunshine,The light and heat that come from the sun,"In the village square, people were milling about in the sunshine."
Tiger,a large wild animal of the cat family with yellowish-orange fur with black lines that lives in parts of Asia,We saw several tigers in the wild.
Universe,a universe that could be imagined to exist outside our own,Scientists have speculated about the possibility of parallel universes.
Violin,a wooden musical instrument with four strings that is held against the neck and played by moving a bow across the strings,She plays the violin with great expression .
Wonder,"used in phrases, at the beginning of a request, to make it more formal and polite",I wonder if you could give me some information about places to visit in the area?
Xylophone,a musical instrument consisting of flat wooden bars of different lengths that are hit with sticks,"The work opened with rapidly-played repeated notes from the soloist, punctuated by xylophone."
Yak,"a type of cattle with long hair and long horns, found mainly in Tibet","The principal economic activity is animal husbandry, pastoral yak, goat, sheep, and so on."
Zebra,"an African wild animal that looks like a horse, with black or brown and white lines on its body","As car ownership grew, it was clear that the zebra crossing could not cope with congested urban traffic."
